customer_id,first_name,last_name,gender,age,country,city,signup_date,company_size,industry
111,Andrew,Bryant,Female,53,India,Bangalore,2024-04-12,Startup,Marketing
112,Tammy,Smith,Male,23,Canada,Vancouver,2024-07-06,SMB,Finance
113,Valerie,Stark,Other,55,Canada,Toronto,2023-09-20,SMB,Education
114,Steven,Freeman,Other,53,Germany,Munich,2024-05-21,SMB,Healthcare
115,Amanda,Mccarty,Female,34,Australia,Melbourne,2023-07-09,Startup,Technology
116,Jill,Lopez,Male,65,Australia,Sydney,2023-10-09,Startup,Finance
117,Joshua,Garrett,Female,64,India,Bangalore,2024-09-18,SMB,Technology
118,Dennis,Krause,Male,41,Singapore,Singapore,2023-08-30,Startup,Healthcare
119,Victoria,Savage,Male,35,USA,Chicago,2024-12-29,Individual,Technology
120,Patricia,Green,Other,49,Germany,Munich,2022-09-16,Individual,Technology
121,Mary,Johnston,Female,46,Germany,Munich,2024-08-19,SMB,Finance
122,Matthew,Kelley,Male,22,USA,San Francisco,2024-09-05,Enterprise,Education
123,Erica,Mccullough,Male,27,USA,Chicago,2022-04-20,SMB,Technology
124,Crystal,Vincent,Female,56,India,Ahmedabad,2025-02-16,Startup,Retail
125,Carrie,Henry,Female,55,Canada,Vancouver,2024-06-25,Enterprise,Healthcare
126,Melanie,May,Male,58,Germany,Berlin,2022-07-23,Startup,Healthcare
127,Edward,Fox,Male,29,Australia,Sydney,2022-11-18,Individual,Finance
128,Tricia,Wilson,Other,56,USA,San Francisco,2024-07-11,Enterprise,Healthcare
129,Raymond,Davies,Other,36,USA,New York,2023-08-14,Enterprise,Technology
130,Stephanie,Ruiz,Other,55,Australia,Sydney,2023-06-26,Startup,Education
131,Kelly,Wright,Other,27,USA,Chicago,2023-04-06,SMB,Finance
132,Dennis,Barnes,Female,56,USA,New York,2022-12-06,SMB,Education
133,Maria,Gomez,Other,43,USA,San Francisco,2023-09-15,SMB,Retail
134,Lisa,Medina,Male,56,Germany,Munich,2024-06-15,Individual,Education
135,Linda,Yates,Male,23,Australia,Melbourne,2023-05-28,Startup,Marketing
136,Brianna,Lynch,Other,20,Singapore,Singapore,2023-07-06,Startup,Education
137,Fred,Norton,Male,55,Germany,Munich,2023-07-24,Enterprise,Marketing
138,Nicole,Smith,Female,40,Singapore,Singapore,2022-07-06,Enterprise,Healthcare
139,Robert,Tate,Female,44,UK,London,2022-11-26,Enterprise,Healthcare
140,Lisa,Baker,Male,47,Australia,Melbourne,2025-01-31,Individual,Healthcare
141,Christopher,Garrett,Female,50,UK,Manchester,2022-08-26,Individual,Marketing
142,Kristina,Thompson,Male,30,Singapore,Singapore,2024-04-26,SMB,Retail
143,Rebecca,Vaughn,Male,31,Singapore,Singapore,2024-06-24,SMB,Retail
144,Michael,Robinson,Other,49,India,Mumbai,2024-06-16,Individual,Technology
145,Justin,Carey,Female,53,Australia,Sydney,2022-11-21,Individual,Retail
146,Stacy,Stevens,Male,47,Canada,Toronto,2023-04-06,Individual,Marketing
147,Ricky,Smith,Other,36,Singapore,Singapore,2024-10-17,SMB,Education
148,Scott,Scott,Male,47,Singapore,Singapore,2024-08-25,Startup,Education
149,Wesley,Hicks,Other,26,India,Bangalore,2024-11-06,Individual,Healthcare
150,Brenda,Moore,Other,35,Singapore,Singapore,2023-11-28,Individual,Healthcare
151,David,Cruz,Other,49,Australia,Melbourne,2025-04-02,Startup,Education
152,Danielle,Acosta,Female,53,Germany,Munich,2023-12-08,Enterprise,Education
153,Dennis,Lawrence,Other,42,UK,London,2023-05-05,Startup,Education
154,Michael,Griffin,Other,42,USA,San Francisco,2024-08-26,Enterprise,Marketing
155,Michael,Contreras,Male,26,Singapore,Singapore,2024-10-11,SMB,Technology
156,Philip,Flores,Other,47,Singapore,Singapore,2022-07-24,Individual,Marketing
157,Timothy,Thompson,Male,48,India,Mumbai,2022-11-13,SMB,Healthcare
158,Adam,Rios,Female,61,Germany,Munich,2022-06-14,Enterprise,Healthcare
159,Sandra,Swanson,Male,57,Australia,Melbourne,2025-01-13,Individual,Finance
160,Nicole,Murray,Other,23,Australia,Melbourne,2023-04-11,Enterprise,Technology
161,Rebecca,Clarke,Male,62,Singapore,Singapore,2024-06-27,SMB,Technology
162,Patrick,Hernandez,Female,40,USA,San Francisco,2022-04-25,SMB,Education
163,Madeline,Kelly,Female,54,India,Ahmedabad,2024-12-23,Startup,Finance
164,Ryan,Sawyer,Other,61,India,Ahmedabad,2024-02-23,Startup,Education
165,Elizabeth,Perkins,Female,58,Germany,Berlin,2023-04-21,SMB,Education
166,Richard,Hunter,Female,61,UK,London,2024-08-10,Startup,Technology
167,Judy,Steele,Other,45,Canada,Vancouver,2023-09-05,SMB,Education
168,Katrina,Wilson,Female,48,Singapore,Singapore,2023-02-12,Individual,Finance
169,Dale,Nielsen,Female,62,Canada,Vancouver,2025-03-23,SMB,Technology
170,Lori,Charles,Male,54,Singapore,Singapore,2023-07-17,Individual,Retail
171,Dawn,Glover,Male,56,Australia,Melbourne,2023-08-10,SMB,Finance
172,Catherine,Rodriguez,Other,64,Australia,Sydney,2023-05-29,Startup,Marketing
173,Daniel,Jordan,Female,46,USA,Chicago,2022-03-22,Individual,Retail
174,Jeffrey,Porter,Female,38,UK,London,2022-07-04,Enterprise,Finance
175,Amanda,Hernandez,Female,51,India,Ahmedabad,2025-01-09,SMB,Finance
176,Kim,Guerrero,Other,39,UK,Manchester,2023-08-28,Individual,Education
177,Andrew,Williams,Other,64,USA,New York,2023-04-08,Enterprise,Retail
178,Ashlee,Kim,Male,34,UK,London,2024-03-19,Individual,Education
179,William,Lambert,Female,58,UK,Manchester,2025-04-12,SMB,Technology
180,Robert,Soto,Male,57,Australia,Sydney,2024-08-23,SMB,Retail
181,Emily,Mills,Other,47,India,Bangalore,2022-05-10,SMB,Marketing
182,Bethany,Wilson,Male,20,Canada,Toronto,2022-10-14,SMB,Education
183,Kara,Richardson,Other,26,USA,New York,2023-04-26,Enterprise,Education
184,Megan,Bernard,Female,59,UK,Manchester,2022-11-13,Individual,Education
185,Jason,Lee,Male,62,Germany,Munich,2023-07-27,SMB,Finance
186,Crystal,Carroll,Female,24,Canada,Vancouver,2023-04-29,SMB,Retail
187,Susan,Cooper,Female,35,Australia,Melbourne,2022-05-05,Startup,Technology
188,Amanda,Clark,Other,31,Singapore,Singapore,2022-07-07,Individual,Technology
189,Sarah,Sheppard,Male,54,Singapore,Singapore,2023-05-14,Startup,Technology
190,Michele,Castillo,Male,32,Singapore,Singapore,2025-04-15,SMB,Finance
191,Andrew,Jenkins,Male,26,Singapore,Singapore,2023-07-22,SMB,Finance
192,Sarah,Mccormick,Male,18,USA,Chicago,2022-02-22,SMB,Finance
193,Andres,Baker,Male,34,Germany,Munich,2022-02-02,Individual,Finance
194,Brent,Marsh,Male,65,Australia,Melbourne,2024-12-13,Individual,Education
195,Mark,Beltran,Other,24,Canada,Vancouver,2024-11-17,Enterprise,Retail
196,Sean,Jones,Other,60,India,Bangalore,2022-03-30,SMB,Education
197,Tiffany,Watson,Female,43,Australia,Sydney,2022-05-05,Enterprise,Marketing
198,Teresa,Rosales,Male,23,USA,San Francisco,2024-06-27,SMB,Retail
199,Justin,Lynch,Female,57,India,Ahmedabad,2022-09-16,SMB,Education
200,Elizabeth,Nicholson,Other,56,Germany,Munich,2024-07-18,Enterprise,Technology
201,Veronica,Moreno,Other,31,Singapore,Singapore,2025-02-03,Enterprise,Education
202,Jacqueline,Conrad,Female,43,India,Mumbai,2023-11-26,Enterprise,Marketing
203,Jimmy,Harding,Female,60,USA,San Francisco,2024-05-24,SMB,Healthcare
204,Jessica,English,Male,23,India,Bangalore,2024-08-29,Individual,Technology
205,Gary,Taylor,Male,53,Canada,Toronto,2024-02-03,Individual,Retail
206,Connie,Torres,Female,40,Germany,Munich,2022-09-08,Enterprise,Marketing
207,Roy,Davis,Female,24,USA,San Francisco,2023-10-02,Startup,Finance
208,Anthony,Washington,Male,40,Australia,Melbourne,2023-04-05,SMB,Technology
209,Kristin,Sanchez,Male,45,Singapore,Singapore,2025-03-21,Individual,Retail
210,Joshua,Bartlett,Male,35,Australia,Melbourne,2022-03-01,SMB,Healthcare
211,Matthew,Randall,Male,54,UK,London,2023-01-07,Enterprise,Technology
212,Sherry,Lynch,Male,65,India,Bangalore,2022-03-04,Startup,Education
213,James,Ferguson,Male,41,Canada,Vancouver,2023-11-30,SMB,Marketing
214,Penny,Torres,Male,28,UK,London,2022-04-18,Individual,Marketing
215,Virginia,Wilson,Other,45,USA,San Francisco,2024-06-26,Enterprise,Retail
216,Courtney,Shelton,Male,50,Canada,Vancouver,2023-07-14,Individual,Healthcare
217,Margaret,Ayers,Other,61,Canada,Toronto,2023-08-04,Enterprise,Retail
218,Juan,Oliver,Male,43,Australia,Melbourne,2022-04-04,Individual,Technology
219,Sean,Parsons,Male,34,India,Mumbai,2023-03-09,SMB,Healthcare
220,Robert,Macias,Other,45,USA,New York,2024-10-15,Startup,Finance
221,John,Houston,Other,60,Canada,Toronto,2024-10-21,SMB,Technology
222,Christopher,Dennis,Male,47,Canada,Toronto,2024-06-12,Individual,Healthcare
223,Shawn,Durham,Female,63,Germany,Munich,2025-03-20,Enterprise,Healthcare
224,Anthony,Logan,Female,28,USA,San Francisco,2022-02-12,Enterprise,Marketing
225,James,Lewis,Male,33,UK,London,2024-06-13,Enterprise,Retail
226,Nicholas,Robinson,Female,65,Canada,Toronto,2024-03-21,SMB,Finance
227,Debra,Bell,Other,58,UK,London,2022-06-06,Individual,Retail
228,Seth,Stewart,Female,64,Germany,Berlin,2023-12-17,Startup,Finance
229,Christopher,Ali,Male,29,USA,New York,2023-06-09,Startup,Marketing
230,Darrell,Ward,Female,54,USA,New York,2024-10-08,Enterprise,Marketing
231,Tanya,Alexander,Male,46,Germany,Munich,2023-10-10,Individual,Education
232,Edward,Gutierrez,Other,21,Canada,Vancouver,2023-07-17,SMB,Retail
233,Shirley,Rose,Female,20,USA,San Francisco,2024-08-03,Individual,Healthcare
234,Patricia,Anderson,Other,23,Singapore,Singapore,2022-06-07,Enterprise,Education
235,Erica,Hill,Other,59,Germany,Berlin,2024-07-10,Startup,Healthcare
236,Christine,Stanley,Male,21,Germany,Munich,2024-10-23,Enterprise,Technology
237,Michael,Miller,Other,59,Singapore,Singapore,2022-06-22,Startup,Technology
238,Charles,Pacheco,Female,51,India,Bangalore,2024-06-15,Startup,Healthcare
239,Tyrone,Lee,Female,39,UK,Manchester,2024-03-04,Individual,Marketing
240,Jessica,Payne,Female,24,Australia,Melbourne,2022-05-15,Enterprise,Healthcare
241,Kara,Bowers,Male,55,UK,London,2023-11-14,Startup,Healthcare
242,Matthew,Cruz,Other,63,UK,Manchester,2022-09-22,Individual,Healthcare
243,Daniel,Reynolds,Male,60,Germany,Munich,2023-11-04,Individual,Marketing
244,Christine,Mitchell,Female,19,Australia,Melbourne,2024-11-07,SMB,Healthcare
245,Brandy,Conley,Female,30,India,Ahmedabad,2023-12-01,Startup,Finance
246,Darlene,French,Male,50,India,Ahmedabad,2023-08-29,Individual,Marketing
247,April,Maldonado,Male,28,UK,London,2024-02-11,Startup,Marketing
248,Sara,Velez,Male,44,Singapore,Singapore,2024-06-15,SMB,Marketing
249,Stacy,Wilkinson,Other,36,Australia,Sydney,2024-06-28,Enterprise,Finance
250,Sharon,Walton,Female,30,Germany,Berlin,2023-09-26,SMB,Marketing
251,Michael,Wyatt,Female,42,Germany,Munich,2024-08-03,Enterprise,Finance
252,Jessica,Abbott,Female,21,Singapore,Singapore,2022-10-11,Enterprise,Healthcare
253,Erik,Cox,Male,36,Germany,Berlin,2024-11-22,Individual,Finance
254,Kayla,Foster,Male,45,UK,Manchester,2024-11-17,Individual,Finance
255,William,Robinson,Male,44,Singapore,Singapore,2023-12-17,Individual,Education
256,Matthew,Mullen,Female,23,Germany,Munich,2023-04-28,SMB,Finance
257,Edward,Parsons,Other,59,USA,San Francisco,2022-07-22,SMB,Finance
258,Alexis,Long,Female,62,India,Ahmedabad,2023-08-11,Startup,Marketing
259,Jeffrey,Martin,Male,19,Canada,Vancouver,2022-01-11,SMB,Finance
260,Adam,Perez,Other,56,Singapore,Singapore,2025-01-28,Enterprise,Technology
261,Wayne,Hall,Female,25,Singapore,Singapore,2023-05-02,Individual,Finance
262,Heather,Cortez,Male,49,Canada,Vancouver,2022-05-09,Individual,Marketing
263,Vincent,Rhodes,Female,45,Germany,Berlin,2022-10-22,Individual,Retail
264,Elizabeth,Martinez,Female,29,UK,London,2025-03-14,Individual,Retail
265,Joseph,Hernandez,Other,50,UK,London,2024-12-13,Individual,Education
266,Valerie,Parks,Other,42,Singapore,Singapore,2022-03-31,SMB,Healthcare
267,Elizabeth,Byrd,Male,40,Australia,Sydney,2024-01-02,Startup,Marketing
268,Megan,Campos,Other,39,Australia,Sydney,2025-04-06,Startup,Technology
269,Devin,Williams,Other,47,UK,Manchester,2022-12-25,Enterprise,Marketing
270,Kimberly,Reed,Other,47,India,Ahmedabad,2022-05-10,Individual,Healthcare
271,Karen,Rodriguez,Male,38,India,Ahmedabad,2023-02-13,SMB,Retail
272,Ashley,Flores,Male,59,Canada,Vancouver,2023-06-03,Startup,Healthcare
273,Michelle,Allen,Female,25,UK,London,2023-11-11,SMB,Education
274,David,Hunter,Female,29,Canada,Vancouver,2024-03-02,Enterprise,Marketing
275,Sharon,Riggs,Female,23,Canada,Vancouver,2024-11-29,Enterprise,Technology
276,Joshua,Mills,Female,38,Canada,Toronto,2025-01-22,Individual,Technology
277,Andrew,Phelps,Female,56,UK,Manchester,2023-09-20,Enterprise,Finance
278,Gary,Williams,Female,20,Australia,Melbourne,2023-12-21,SMB,Retail
279,Michelle,Spencer,Male,60,Canada,Vancouver,2022-04-28,Enterprise,Healthcare
280,Jill,Hughes,Male,56,Germany,Berlin,2022-03-05,Enterprise,Technology
281,Stephanie,Gray,Other,41,India,Ahmedabad,2023-04-29,SMB,Education
282,Michael,Griffin,Other,46,Germany,Berlin,2022-11-11,SMB,Healthcare
283,Julia,Stevens,Male,51,Canada,Toronto,2025-03-21,SMB,Education
284,Sharon,Long,Male,19,UK,Manchester,2023-05-27,Startup,Education
285,Kyle,Griffin,Male,34,Germany,Munich,2025-02-24,SMB,Marketing
286,Molly,Hull,Other,49,Canada,Toronto,2023-08-08,Startup,Technology
287,Sue,Parks,Male,63,India,Ahmedabad,2024-07-14,Enterprise,Technology
288,Brandon,White,Other,22,Singapore,Singapore,2023-12-13,SMB,Healthcare
289,Ryan,Pena,Female,50,Singapore,Singapore,2022-12-23,Startup,Technology
290,William,Hart,Female,19,India,Ahmedabad,2023-04-30,SMB,Retail
291,Robert,Walker,Other,26,Germany,Munich,2024-08-15,Individual,Technology
292,Laura,Strickland,Other,44,UK,Manchester,2024-09-07,Enterprise,Retail
293,Patricia,Spence,Other,22,USA,New York,2023-10-12,Enterprise,Education
294,Carol,Diaz,Other,58,Australia,Melbourne,2022-09-20,Startup,Finance
295,Susan,Morgan,Other,27,Canada,Toronto,2022-09-12,SMB,Finance
296,Alexa,Robinson,Female,51,India,Mumbai,2023-04-07,SMB,Technology
297,Alicia,Johnson,Female,26,UK,London,2025-02-02,SMB,Retail
298,Jessica,Horne,Other,28,Germany,Berlin,2024-10-26,Startup,Finance
299,April,Robinson,Male,19,Australia,Melbourne,2025-02-28,Individual,Technology
300,Thomas,Dudley,Other,44,Australia,Melbourne,2023-03-08,Individual,Education
301,Steven,Copeland,Female,33,Australia,Melbourne,2023-09-11,Enterprise,Healthcare
302,Tracey,Schneider,Male,46,Canada,Toronto,2022-05-03,Enterprise,Education
303,Veronica,Bryant,Other,27,Canada,Toronto,2023-11-28,SMB,Marketing
304,Scott,Riley,Male,41,UK,Manchester,2024-03-27,Individual,Healthcare
305,Robert,Jordan,Female,46,India,Mumbai,2022-09-08,Startup,Finance
306,Lisa,Gonzalez,Female,57,USA,New York,2023-08-18,Enterprise,Finance
307,John,Moss,Other,64,Singapore,Singapore,2023-11-02,SMB,Finance
308,Steven,Frank,Other,47,Singapore,Singapore,2024-10-17,Enterprise,Healthcare
309,Joshua,White,Female,50,Canada,Toronto,2022-07-04,Enterprise,Finance
310,Lisa,Young,Male,21,India,Bangalore,2023-12-24,SMB,Education
311,Bobby,Davis,Other,18,Germany,Munich,2023-08-09,Individual,Education
312,Barbara,Hicks,Female,41,India,Mumbai,2024-01-20,Individual,Education
313,Richard,Pacheco,Male,41,USA,Chicago,2025-02-24,SMB,Technology
314,Seth,Luna,Female,57,Canada,Vancouver,2025-01-31,Individual,Finance
315,Andrea,Jefferson,Female,53,USA,San Francisco,2024-02-04,SMB,Finance
316,Annette,Jordan,Female,50,India,Bangalore,2024-11-08,Individual,Technology
317,Andrew,Montgomery,Female,51,USA,New York,2023-11-14,Enterprise,Finance
318,Matthew,Arnold,Other,38,Germany,Berlin,2023-11-03,Startup,Education
319,Colton,Jennings,Other,50,Germany,Munich,2023-11-20,Enterprise,Marketing
320,David,Clarke,Male,41,Germany,Munich,2024-08-30,SMB,Marketing
321,Robert,Vargas,Female,64,USA,San Francisco,2025-04-10,Individual,Retail
322,Robert,Barr,Other,32,Canada,Vancouver,2025-03-30,Individual,Retail
323,Steven,Lopez,Other,64,Canada,Toronto,2024-12-09,Enterprise,Finance
324,Justin,Finley,Other,62,Singapore,Singapore,2022-03-06,Individual,Finance
325,Daniel,Adams,Female,27,USA,San Francisco,2023-10-05,Enterprise,Marketing
326,Yvonne,Fuentes,Other,48,India,Mumbai,2024-10-24,Individual,Marketing
327,Teresa,Ward,Other,38,India,Bangalore,2023-03-01,Enterprise,Retail
328,Justin,Ayala,Female,52,Canada,Vancouver,2022-12-21,SMB,Retail
329,Edward,Freeman,Male,33,UK,Manchester,2024-09-18,SMB,Retail
330,Kristen,Klein,Female,63,UK,London,2023-09-02,Startup,Marketing
331,Angela,Wise,Female,40,Australia,Melbourne,2023-10-12,SMB,Healthcare
332,Dana,Shelton,Female,43,USA,Chicago,2025-01-17,SMB,Finance
333,Heather,Logan,Other,23,UK,London,2023-08-13,SMB,Education
334,John,Padilla,Male,30,Australia,Melbourne,2024-09-08,SMB,Retail
335,Travis,Horton,Male,57,Australia,Melbourne,2022-10-09,Startup,Finance
336,Joseph,Goodman,Male,58,USA,Chicago,2024-12-23,Startup,Technology
337,Anne,Wilson,Other,48,USA,San Francisco,2023-11-08,Individual,Marketing
338,Barbara,King,Other,28,Singapore,Singapore,2022-01-11,Enterprise,Marketing
339,Luis,Petty,Female,38,Canada,Vancouver,2023-02-13,SMB,Marketing
340,Glen,Harrison,Male,52,USA,New York,2025-03-21,Individual,Finance
341,Craig,Johnson,Female,49,Canada,Toronto,2022-03-16,Startup,Marketing
342,Laura,Bernard,Male,37,Singapore,Singapore,2022-03-18,Individual,Healthcare
343,Matthew,Johnson,Other,49,UK,Manchester,2025-01-17,Startup,Retail
